Home,Away,Score Home,Score Away,Forfeit,Date
#WEEK 1,,,,,
TIBIA,PSIS,0,2,1,12/05/2019
RNDY,SPOIL,2,0,0,12/05/2019
TBD,BFM,,,,
BB&B,WOC,,,,
#WEEK 2,,,,,
YCST,WTP,,,,
TBD,SPOIL,,,,
TIBIA,WOC,,,,
RNDY,BB&B,,,,
#WEEK 3,,,,,
YCST,BFM,,,,
WTP,PSIS,,,,
TBD,BB&B,,,,
TIBIA,RNDY,,,,
#WEEK 4,,,,,
YCST,PSIS,,,,
WTP,WOC,,,,
TBD,TIBIA,,,,
BFM,SPOIL,,,,
#WEEK 5,,,,,
YCST,SPOIL,,,,
PSIS,WOC,,,,
BFM,BB&B,,,,
WTP,RNDY,,,,
#WEEK 6,,,,,
SPOIL,BB&B,,,,
YCST,WOC,,,,
PSIS,RNDY,,,,
BFM,TIBIA,,,,
WTP,TBD,,,,
#WEEK 7,,,,,
SPOIL,TIBIA,,,,
YCST,BB&B,,,,
WOC,RNDY,,,,
PSIS,TBD,,,,
#WEEK 8,,,,,
YCST,RNDY,,,,
BB&B,TIBIA,,,,
WOC,TBD,,,,
BFM,WTP,,,,
#WEEK 9,,,,,
YCST,TIBIA,,,,
SPOIL,WTP,,,,
RNDY,TBD,,,,
PSIS,BFM,,,,
#WEEK 10,,,,,
YCST,TBD,,,,
BB&B,WTP,,,,
SPOIL,PSIS,,,,
WOC,BFM,,,,
#WEEK 11,,,,,
RNDY,BFM,,,,
BB&B,PSIS,,,,
WOC,SPOIL,,,,
TIBIA,WTP,,,,
#FORFEITS,,,,,
TRIH,WTP,0,2,1,12/02/2019
YCST,TRIH,2,0,1,12/02/2019
TIBIA,TRIH,2,0,1,12/02/2019
BB&B,TRIH,2,0,1,12/02/2019
SPOIL,TRIH,2,0,1,12/02/2019
BFM,TRIH,2,0,1,12/02/2019
TRIH,TBD,0,2,1,12/02/2019
TRIH,RNDY,0,2,1,12/02/2019
TRIH,WOC,0,2,1,12/02/2019
TRIH,PSIS,0,2,1,12/02/2019